review_id,product_type,brand,rating,review_text,skin_type,price_band
1,foundation,DemoBrandA,5,轻薄不闷妆 夏天通勤半天也没有明显暗沉,oil,mid
2,foundation,DemoBrandB,2,遮瑕还行但是鼻翼卡粉 下午有点斑驳,combination,mid
3,lipstick,DemoBrandC,5,颜色很显白 适合日常通勤 厚涂也不突兀,normal,low
4,skincare,DemoBrandD,3,保湿可以但是敏感肌用起来有一点刺痛,dry,high
5,foundation,DemoBrandA,4,妆效自然 适合学生党 但色号选择有点难,oil,mid
6,lipstick,DemoBrandE,2,质地偏干 唇纹明显 不太适合秋冬,dry,low
7,skincare,DemoBrandF,5,成分温和 吸收快 第二天皮肤状态稳定,sensitive,high
8,foundation,DemoBrandB,1,刚上脸好看 但是两个小时就暗沉严重,oil,mid
9,lipstick,DemoBrandC,4,薄涂很日常 包装好看 价格也可以接受,normal,low
10,skincare,DemoBrandD,2,味道有点重 使用感一般 没看到明显效果,sensitive,high
11,foundation,DemoBrandA,5,油皮夏天用很惊喜 出门一整天补妆少,oil,mid
12,skincare,DemoBrandF,4,保湿力不错 适合换季 但价格略高,dry,high

